ID_Orden,ID_Cliente,Edad,ID_Producto,Pais,Fecha_Registro,Fecha_Ultima_Compra,Cantidad_Cancelaciones,Estado_Suscripcion,Fecha_Orden,Precio_Unitario,Cantidad,Frecuencia_Compra,Categoria_Preferida,Nombre_Producto,Categoria,Genero,Total_Orden,Target
ORD5000,CUST1000,39,PROD200,canada,2021-01-07,2023-02-21,0,active,2024-08-20,78.21,5,37,sports,Football,sports,female,391.04999999999995,0
ORD5001,CUST1001,61,PROD201,usa,2020-10-19,2021-12-08,0,active,2025-07-17,64.02,8,35,sports,Refrigerator,home,female,512.16,0
ORD5002,CUST1002,26,PROD202,pakistan,2023-06-10,2023-09-04,3,cancelled,2025-03-12,604.14,2,44,electronics,Hoodie,clothing,female,1208.28,1
ORD5003,CUST1003,54,PROD203,india,2023-07-30,2024-02-20,4,paused,2024-09-19,84.66,4,1,sports,Conditioner,beauty,male,338.64,0
ORD5004,CUST1004,50,PROD204,india,2020-12-09,2024-09-14,0,active,2024-08-08,62.66,7,35,sports,Smartwatch,electronics,male,438.62,0
ORD5005,CUST1005,46,PROD205,pakistan,2023-05-16,2025-08-13,2,active,2024-10-14,221.61,8,16,electronics,Hoodie,clothing,male,1772.88,0
ORD5006,CUST1006,29,PROD206,germany,2023-04-10,2025-07-15,1,active,2024-03-05,175.74,4,7,clothing,Tablet,electronics,female,702.96,0
ORD5007,CUST1007,24,PROD207,uk,2022-07-11,2024-12-31,2,active,2025-03-21,9.56,5,34,clothing,Jacket,clothing,female,47.800000000000004,0
ORD5008,CUST1008,53,PROD208,pakistan,2021-04-25,2024-12-26,4,paused,2023-12-14,1525.8,1,32,electronics,Nail Polish,beauty,female,1525.8,0
ORD5009,CUST1009,38,PROD209,germany,2021-12-09,2024-11-29,2,active,2021-12-24,337.24,4,6,clothing,Camera,electronics,male,1348.96,0
ORD5010,CUST1010,41,PROD210,uk,2020-10-04,2022-08-02,2,active,2023-11-23,203.05,6,38,home,Dumbbells,sports,female,1218.3000000000002,0
ORD5011,CUST1011,24,PROD211,canada,2022-02-12,2025-03-12,1,active,2025-05-30,940.17,1,24,beauty,Headphones,electronics,female,940.17,0
ORD5012,CUST1012,39,PROD212,canada,2020-12-20,2023-01-16,2,active,2021-08-07,168.79,9,36,beauty,Vacuum Cleaner,home,female,1519.11,0
ORD5013,CUST1013,61,PROD213,usa,2021-02-19,2024-12-09,3,active,2024-01-26,236.77,8,5,sports,Perfume,beauty,female,1894.16,0
ORD5014,CUST1014,64,PROD214,uk,2021-02-27,2025-04-24,1,active,2023-12-06,130.32,6,20,clothing,Cycling Helmet,sports,female,781.92,0
ORD5015,CUST1015,28,PROD215,uk,2021-12-31,2023-11-15,5,cancelled,2024-11-30,333.99,3,27,home,Face Wash,beauty,female,1001.97,1
ORD5016,CUST1016,34,PROD216,usa,2021-07-06,2025-08-02,1,active,2024-06-19,1875.08,1,31,sports,Football,sports,female,1875.08,0
ORD5017,CUST1017,22,PROD217,pakistan,2021-09-14,2024-08-04,0,cancelled,2024-01-27,211.24,6,18,electronics,Cricket Bat,sports,male,1267.44,1
ORD5018,CUST1018,42,PROD218,usa,2023-05-25,2025-01-09,5,paused,2025-08-13,1702.39,1,14,clothing,Sneakers,clothing,male,1702.39,0
ORD5019,CUST1019,51,PROD219,india,2022-09-14,2025-08-13,0,paused,2024-10-27,199.58,8,41,clothing,Refrigerator,home,female,1596.64,0
ORD5020,CUST1020,64,PROD220,canada,2022-03-13,2024-01-23,4,active,2022-05-06,242.03,6,2,electronics,Cricket Bat,sports,female,1452.18,0
ORD5021,CUST1021,52,PROD221,germany,2021-02-02,2022-06-20,1,paused,2024-08-20,50.78,7,9,home,Dress,clothing,male,355.46000000000004,0
ORD5022,CUST1022,28,PROD222,germany,2022-06-09,2022-08-05,2,active,2024-02-06,89.87,6,39,home,Smartphone,electronics,female,539.22,0
ORD5023,CUST1023,25,PROD223,germany,2021-05-04,2025-06-11,5,active,2025-07-11,52.34,8,16,electronics,Camera,electronics,male,418.72,0
ORD5024,CUST1024,45,PROD224,germany,2022-04-14,2023-01-29,2,active,2024-05-21,232.67,3,20,clothing,Lipstick,beauty,male,698.01,0
ORD5025,CUST1025,49,PROD225,india,2021-11-07,2022-06-09,3,cancelled,2022-09-26,142.89,5,40,clothing,Sneakers,clothing,male,714.4499999999999,1
ORD5026,CUST1026,27,PROD226,germany,2023-05-15,2025-05-05,0,paused,2024-08-26,44.69,7,28,beauty,T-Shirt,clothing,male,312.83,0
ORD5027,CUST1027,69,PROD227,pakistan,2021-03-23,2022-02-25,4,cancelled,2024-11-13,139.3,7,42,clothing,Tennis Racket,sports,male,975.1000000000001,1
ORD5028,CUST1028,66,PROD228,india,2021-06-02,2025-04-03,1,active,2022-01-17,149.65,8,45,electronics,Sofa,home,male,1197.2,0
ORD5029,CUST1029,43,PROD229,canada,2020-08-22,2024-03-22,3,cancelled,2021-08-06,157.1,6,14,electronics,Laptop,electronics,female,942.5999999999999,1
ORD5030,CUST1030,18,PROD230,germany,2021-04-19,2021-06-01,5,active,2023-03-04,182.53,9,24,clothing,Basketball,sports,male,1642.77,0
ORD5031,CUST1031,37,PROD231,canada,2021-08-19,2023-07-22,4,paused,2024-09-07,31.95,1,9,home,Dress,clothing,male,31.95,0
ORD5032,CUST1032,52,PROD232,germany,2021-02-09,2021-07-27,0,cancelled,2023-11-10,804.77,2,26,beauty,Cycling Helmet,sports,female,1609.54,1
ORD5033,CUST1033,50,PROD233,canada,2022-03-25,2022-09-25,5,active,2022-09-05,332.38,5,29,home,Shirt,clothing,male,1661.9,0
ORD5034,CUST1034,49,PROD234,uk,2021-02-26,2025-04-22,5,active,2021-10-18,1292.65,1,12,electronics,Cricket Bat,sports,female,1292.65,0
ORD5035,CUST1035,48,PROD235,india,2021-07-11,2023-11-23,3,active,2024-06-03,36.39,7,24,electronics,Tablet,electronics,female,254.73000000000002,0
ORD5036,CUST1036,42,PROD236,uk,2023-08-03,2024-01-14,0,paused,2024-09-22,79.19,7,13,home,Camera,electronics,male,554.3299999999999,0
ORD5037,CUST1037,66,PROD237,india,2023-03-25,2023-05-16,3,active,2024-12-29,94.06,4,48,sports,Blender,home,male,376.24,0
ORD5038,CUST1038,25,PROD238,pakistan,2022-02-17,2023-06-29,3,paused,2022-03-13,786.48,2,11,sports,Basketball,sports,female,1572.96,0
ORD5039,CUST1039,40,PROD239,india,2022-12-04,2024-12-13,5,active,2025-06-05,20.55,6,47,beauty,Sneakers,clothing,female,123.30000000000001,0
ORD5040,CUST1040,31,PROD240,usa,2023-05-08,2025-08-06,3,active,2023-10-09,203.23,5,45,beauty,Sneakers,clothing,male,1016.15,0
